target_key	stage	source_embryo	target_embryo	method	seed	svg_spatial_pearson_median	svg_spatial_spearman_median	auprc_enrichment_median	topk_dice_median	weighted_centroid_error_median	spatial_emd_median	log1p_rmse	moran_error_median	eligible_localization_genes	pearson_ci_low	pearson_ci_high
50p_E1_to_E2	50% epiboly	E1	E2	anchor_only_calibrated	43.0	0.5770244002342224	0.4829938839007855	2.147387057774297	0.5462682008717095	0.01519754172189	0.05863668518360543	0.6173822283744812	0.1455116732251082	100.0	0.5209395304322243	0.6096834540367126
50p_E1_to_E2	50% epiboly	E1	E2	atlas_plus_global_anchor_residual	43.0	0.4909040828545888	0.4209381067684637	1.6429827966536186	0.47911965398667516	0.021801442897003434	0.06347397868830687	0.663420557975769	0.2471924853811993	100.0	0.41130560263991356	0.5388820370038351
50p_E1_to_E2	50% epiboly	E1	E2	atlas_plus_local_anchor_residual	43.0	0.47987624009450275	0.42637965729679855	1.637944830043148	0.48459147619108695	0.02732802627886367	0.0656343068407986	0.6784668564796448	0.2815514175255472	100.0	0.4035580456256866	0.5300584435462952
50p_E1_to_E2	50% epiboly	E1	E2	hyperspatial_map_calibrated_fusion	43.0	0.5614516933759054	0.4851107898716485	2.003056589852712	0.535587435282939	0.017137889674344833	0.06052095895409873	0.6528216203053793	0.20839943728952096	100.0	0.4976298213005066	0.6056121389071146
50p_E1_to_E2	50% epiboly	E1	E2	registered_idw_k12	43.0	0.28040894865989685	0.24514974755771612	1.397430641845481	0.3985014892872812	0.025288249657262767	0.0672133144698034	0.78353351354599	0.4889567209724388	100.0	0.2130824233094851	0.34050311918059983
50p_E1_to_E2	50% epiboly	E1	E2	registered_nearest_neighbor	43.0	0.19761745134989417	0.1773994095506747	1.2609855096666702	0.3578408955170563	0.02613769014962543	0.06552502995711007	0.8963809808095297	0.0917800845606029	100.0	0.137817953278621	0.23759724584718542
50p_E2_to_E1	50% epiboly	E2	E1	anchor_only_calibrated	43.0	0.5080492496490479	0.4153293829749514	2.027187162464894	0.435740072202166	0.0126966908236842	0.05872437517670067	0.5955831408500671	0.0783319762219043	99.0	0.4289535261690616	0.5734292030334472
50p_E2_to_E1	50% epiboly	E2	E1	atlas_plus_global_anchor_residual	43.0	0.4227864344914754	0.3584837039177579	1.7048646664310054	0.38790365581487407	0.024611643766240435	0.06228623324604606	0.6458335518836975	0.21350118887597522	99.0	0.33608191981911656	0.4726841350396474
50p_E2_to_E1	50% epiboly	E2	E1	atlas_plus_local_anchor_residual	43.0	0.4344205856323242	0.36974637606063626	1.7510112804861373	0.41406172277113673	0.021952921993852532	0.06258416936409987	0.6475992798805237	0.2783134516425732	99.0	0.36595085362593327	0.4903754246731598
50p_E2_to_E1	50% epiboly	E2	E1	hyperspatial_map_calibrated_fusion	43.0	0.4818089008331299	0.4005325673476792	1.9298017400721064	0.41444148050011803	0.013971158657229267	0.05881009130505666	0.6331961353619894	0.15194401591579754	99.0	0.3958243618408839	0.5442053447167079
50p_E2_to_E1	50% epiboly	E2	E1	registered_idw_k12	43.0	0.29415686925252277	0.22995977601505543	1.5028557080027376	0.35429714859168077	0.02849472060261547	0.06802039191549593	0.7365686098734537	0.5369766342104504	99.0	0.20604166102906066	0.3383736809094747
50p_E2_to_E1	50% epiboly	E2	E1	registered_nearest_neighbor	43.0	0.19926895697911576	0.15954360801275194	1.3439537080584463	0.3108852703853084	0.030603036305590765	0.06906610676075624	0.8676672180493673	0.1823881355746225	99.0	0.13217647597193713	0.2423245064914226
6s_E1_to_E2	6-somite	E1	E2	anchor_only_calibrated	43.0	0.594792902469635	0.5131868321270735	2.7726309448240998	0.5421104807909454	0.0187068440135896	0.04479855681763193	0.5866712331771851	0.12417039878667709	100.0	0.5624547600746155	0.6208235397934914
6s_E1_to_E2	6-somite	E1	E2	atlas_plus_global_anchor_residual	43.0	0.5611987908681234	0.4974111909874443	2.6571431570567703	0.5271463684989955	0.012360882039404433	0.03854611753784593	0.6471485694249471	0.26430172146550285	100.0	0.521219719449679	0.5881518324216207
6s_E1_to_E2	6-somite	E1	E2	atlas_plus_local_anchor_residual	43.0	0.5629119674364725	0.4963380361405001	2.609671745582719	0.5274632963505616	0.012623297108741466	0.04013303663208313	0.6486491759618124	0.2769115482471866	100.0	0.5315918649236361	0.5919117530186971
6s_E1_to_E2	6-somite	E1	E2	hyperspatial_map_calibrated_fusion	43.0	0.6208569407463074	0.5253599363088948	2.8620388788873403	0.5626885390025395	0.011818127742498833	0.038588394446460034	0.6181702613830566	0.2621774514998337	100.0	0.5919723903139432	0.6438247039914131
6s_E1_to_E2	6-somite	E1	E2	registered_idw_k12	43.0	0.44688951969146723	0.38598287857651353	2.2040965225630846	0.4433928702130196	0.012806586031491833	0.040428182493876266	0.749060054620107	0.31029165695440164	100.0	0.40271216010053945	0.4736422223349412
6s_E1_to_E2	6-somite	E1	E2	registered_nearest_neighbor	43.0	0.3367764353752136	0.2928116406251995	1.8276137544255278	0.40809280288668254	0.014191125362294367	0.0401464792001314	0.8994667530059814	0.0411049555144992	100.0	0.30331839571396507	0.3657273545861244
6s_E2_to_E1	6-somite	E2	E1	anchor_only_calibrated	43.0	0.5765857696533203	0.5235979168021895	2.6162629798629387	0.5271441254667191	0.014674989241859	0.04315213411430854	0.6097576022148132	0.1280323363914302	100.0	0.5404031058152516	0.6171919107437134
6s_E2_to_E1	6-somite	E2	E1	atlas_plus_global_anchor_residual	43.0	0.5534189542134603	0.5008084717620166	2.524020914076357	0.5134492776740478	0.0149788087660737	0.0386003695136412	0.6596857110659281	0.23863070863320882	100.0	0.5039990186691284	0.5811050718029339
6s_E2_to_E1	6-somite	E2	E1	atlas_plus_local_anchor_residual	43.0	0.5479273200035095	0.48957891308170304	2.460431066475879	0.5102944564518483	0.017547658198575535	0.041663962782724634	0.676970362663269	0.2729875039666922	100.0	0.4854733347892761	0.5721013362209002
6s_E2_to_E1	6-somite	E2	E1	hyperspatial_map_calibrated_fusion	43.0	0.5788195331891378	0.5148773274603915	2.610849757723298	0.5300805380568825	0.0156891454207954	0.040146395412271337	0.6590457359949747	0.2589757214231927	100.0	0.5220633720358213	0.6186697701613108
6s_E2_to_E1	6-somite	E2	E1	registered_idw_k12	43.0	0.44341984391212463	0.387829542320915	2.113455667298301	0.4532760548848483	0.01952320995204483	0.04218646998429617	0.7657799323399862	0.3086401724111252	100.0	0.41389496599634484	0.46800333733359967
