target_key	stage	target_embryo	comparison	endpoint	endpoint_label	favorable_direction	delta	map_value	comparator_value
50p_E2_to_E1	50% epiboly	E1	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	residual_spatial_pearson_median	Residual spatial Pearson	positive	-0.015457669893900572	0.45667314529418945	0.47213081518809
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	svg_spatial_pearson_median	Spatial Pearson	positive	0.17396742105484014	0.6208569407463074	0.44688951969146723
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	auprc_enrichment_median	AUPRC enrichment	positive	0.6579423563242557	2.8620388788873403	2.2040965225630846
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	topk_dice_median	Prevalence-matched Dice	positive	0.11929566878951986	0.5626885390025395	0.4433928702130196
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	weighted_centroid_error_median	Centroid error	positive	0.0009884582889930008	0.011818127742498833	0.012806586031491833
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	spatial_emd_median	Spatial EMD	positive	0.0018397880474162326	0.038588394446460034	0.040428182493876266
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	log1p_rmse	log1p RMSE	positive	0.1308897932370504	0.6181702613830566	0.749060054620107
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	residual_spatial_pearson_median	Residual spatial Pearson	positive	0.5311692953109741	0.5311692953109741	0.0
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	svg_spatial_pearson_median	Spatial Pearson	positive	0.026064038276672363	0.6208569407463074	0.594792902469635
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	auprc_enrichment_median	AUPRC enrichment	positive	0.08940793406324055	2.8620388788873403	2.7726309448240998
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	topk_dice_median	Prevalence-matched Dice	positive	0.020578058211594086	0.5626885390025395	0.5421104807909454
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	weighted_centroid_error_median	Centroid error	positive	0.006888716271090766	0.011818127742498833	0.0187068440135896
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	spatial_emd_median	Spatial EMD	positive	0.006210162371171897	0.038588394446460034	0.04479855681763193
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	log1p_rmse	log1p RMSE	positive	-0.03149902820587158	0.6181702613830566	0.5866712331771851
6s_E1_to_E2	6-somite	E2	hyperspatial_map_calibrated_fusion_vs_anchor_only_calibrated	residual_spatial_pearson_median	Residual spatial Pearson	positive	-0.0054938395818074914	0.5311692953109741	0.5366631348927816
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	svg_spatial_pearson_median	Spatial Pearson	positive	0.13539968927701318	0.5788195331891378	0.44341984391212463
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	auprc_enrichment_median	AUPRC enrichment	positive	0.4973940904249967	2.610849757723298	2.113455667298301
6s_E2_to_E1	6-somite	E1	hyperspatial_map_calibrated_fusion_vs_registered_idw_k12	topk_dice_median	Prevalence-matched Dice	positive	0.0768044831720342	0.5300805380568825	0.4532760548848483
