target_key	stage	source	target	method	rho_res_pooled	residual_spatial_pearson_median	svg_spatial_pearson_median	svg_spatial_spearman_median	auprc_enrichment_median	topk_dice_median	weighted_centroid_error_median	spatial_emd_median	log1p_rmse	moran_error_median	eligible_localization_genes	pearson_ci_low	pearson_ci_high	evaluated_non_anchor_genes
50p_E1_to_E2	50%	E1	E2	transimpspa	0.5285581596234169	0.4489022195339203	0.519207239151001	0.41700253895284733	1.7777585901369077	0.5131602517235571	0.020646107383072376	0.06082418303502765	0.6474077105522156	0.09026527404785156	100	0.41994452476501465	0.5781700611114502	479
50p_E2_to_E1	50%	E2	E1	transimpspa	0.4897085465811838	0.45379573106765747	0.3838502764701843	0.34285607126731993	1.708660081555886	0.3960597826086957	0.014611384831368923	0.0603602204805475	0.6442074775695801	0.07396231219172478	99	0.36242902278900146	0.4880216121673584	479
75p_E1_to_E2	75%	E1	E2	transimpspa	0.5354559560595775	0.48151203989982605	0.602168083190918	0.5474057548545833	2.5694752599902535	0.557560954782365	0.02701018750667572	0.06801705891215254	0.6917641162872314	0.10389041900634766	100	0.5579466819763184	0.6565849781036377	479
75p_E2_to_E1	75%	E2	E1	transimpspa	0.5271629039537138	0.5022508502006531	0.6427726745605469	0.5945462582477214	3.2853578919126014	0.6058689031016625	0.03373942896723747	0.06973163281935824	0.6600728631019592	0.07883154600858688	100	0.6079251766204834	0.6899899840354919	479
6s_E1_to_E2	6-somite	E1	E2	transimpspa	0.5317111639999721	0.4917439818382263	0.5704071521759033	0.49356149278384054	2.627672466363439	0.5215330058643133	0.028794435784220695	0.05187399032715201	0.6412795782089233	0.11999902129173279	100	0.5458438396453857	0.6049824953079224	479
6s_E2_to_E1	6-somite	E2	E1	transimpspa	0.5122994023258249	0.48207035660743713	0.5304759740829468	0.4989408155288546	2.3298308625643136	0.4679416082939103	0.02691125962883234	0.04961434182435985	0.6734889149665833	0.11537657678127289	100	0.4840054512023926	0.568270368874073	479
