method,n_spots,n_hidden_genes,median_spatial_pearson,pooled_expression_pearson,pooled_log1p_rmse,median_gene_log1p_rmse,median_gene_residual_pearson,pooled_residual_pearson,residual_log1p_rmse
CONCERT,10583,1283,0.076790534,0.3529054435998931,1.3032366,0.6426824,0.48601636,0.2200301160960726,1.3032366
HyperSpatial-MAP,10583,1283,0.34931052,0.6811989294825497,0.5525859,0.5398175,0.65436107,0.645532913893947,0.5525859
