region,method,n_spots,pooled_residual_pearson,median_gene_residual_pearson,true_mean_abs_residual,predicted_mean_abs_residual,pooled_log1p_rmse
ICA,anchor_only_calibrated,472,0.5060846341054979,0.39298513531684875,0.754711369673411,0.42741861939430237,0.8193524479866028
ICA,hyperspatial_map_calibrated_fusion,472,0.4913851692294046,0.3658548891544342,0.754711369673411,0.3566829264163971,0.8323686122894287
ICA,registered_idw_k12,472,,,0.754711369673411,0.0,1.0371803840001423
Other,anchor_only_calibrated,9033,0.6978553650614202,0.6740707159042358,0.5005763272444407,0.34450480341911316,0.4942120313644409
Other,hyperspatial_map_calibrated_fusion,9033,0.6691491800834418,0.6628581682840983,0.5005763272444407,0.27075958251953125,0.5178913275400797
Other,registered_idw_k12,9033,,,0.5005763272444407,0.0,0.6910489598910013
PIA,anchor_only_calibrated,1078,0.5533807064945127,0.6184669335683187,0.5709765156110128,0.3382551074028015,0.655300498008728
PIA,hyperspatial_map_calibrated_fusion,1078,0.5305957863180156,0.6032599806785583,0.5709765156110128,0.2651809553305308,0.6685060660044352
PIA,registered_idw_k12,1078,,,0.5709765156110128,0.0,0.7963260014851888
