endpoint	patient_balanced_mean	patient_balanced_median	bootstrap_95ci_low	bootstrap_95ci_high	independent_patient_n	bootstrap_seed
delta_spatial_pearson	0.03308908678957525	0.03308908678957525	0.0286967432998231	0.0374814302793274	2	260825
delta_log1p_rmse	-0.05550856888294217	-0.05550856888294217	-0.06070455908775324	-0.050312578678131104	2	260825
pooled_residual_pearson_map	0.5116360645041014	0.5116360645041014	0.4934823847003137	0.5297897443078889	2	260825
