disease	patient	sample	GSM	target_spots_on_tissue	geometry_supported_spots_pre_qc	target_spots_evaluated	hidden_genes	anchor_count	correction_magnitude_mean_abs_log1p	guard_fallback_gene_fraction	median_spatial_idw	median_spatial_map	log1p_rmse_idw	log1p_rmse_map	median_residual_pearson_map	pooled_residual_pearson_map	fraction_map_gt_idw_spatial	fraction_map_lt_idw_rmse	fraction_positive_map_residual
PSC	PSC011	PSC011_A1	GSM7845914	3118	3039	3031	6813	16	0.07985377311706543	0.3679189903140593	-0.00016723357597138533	0.1164783406719669	0.32833871245384216	0.2825969159603119	0.6215323180317495	0.5124523328517031	0.6188169675620138	0.6279172170849846	0.6320270071921327
PSC	PSC011	PSC011_B1	GSM7845915	2670	2592	2584	6814	16	0.07924670726060867	0.3679189903140593	-0.0015425538914593017	0.1283442624839548	0.32740309834480286	0.27992382645606995	0.6315200790849599	0.5183197141945174	0.6175520986204872	0.6288523627825066	0.6320810096859407
PSC	PSC011	PSC011_C1	GSM7845916	3322	3277	3185	6813	16	0.07906097173690796	0.3679189903140593	-0.00047476484306569155	0.09436149741460285	0.32241931557655334	0.27368590235710144	0.6332641517474031	0.5237893743158609	0.6188169675620138	0.6299721121385586	0.6320270071921327
PSC	PSC011	PSC011_D1	GSM7845917	3174	3120	3097	6813	16	0.0800609365105629	0.3679189903140593	1.3861100480402502e-05	0.10395042737618147	0.34034398198127747	0.2863112688064575	0.6313947717095304	0.5285408204822184	0.6117716130926171	0.630412446792896	0.6320270071921327
