biopsy	array	fibrosis_stage	program	predeclared_genes	available_hidden_genes	n_available	spatial_residual_pearson	measured_mean_residual	predicted_mean_residual
VLP115_A_C4	VLP115_A	F3b	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.8905260770014162	-0.06095423176884651	-0.0677679106593132
VLP115_A_C4	VLP115_A	F3b	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.6563281801421873	-0.6862974762916565	-0.44870027899742126
VLP116_D_C1	VLP116_D	F0	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.6034708227637582	-0.0496964156627655	-0.15066953003406525
VLP116_D_C1	VLP116_D	F0	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.7222804445749302	-0.24320068955421448	-0.2980026304721832
VLP116_D_C1	VLP116_D	F0	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.5521372058439763	0.15830710530281067	-0.012606310658156872
VLP116_D_C1	VLP116_D	F0	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.8739925158961342	0.4074043035507202	0.13364838063716888
VLP116_D_C1	VLP116_D	F0	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.7442061674353925	-0.5771458148956299	-0.5270765423774719
VLP116_D_C2	VLP116_D	F3a	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.4725229134168954	0.3575609028339386	-0.09042873233556747
VLP116_D_C2	VLP116_D	F3a	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.5987416703665559	0.2389131337404251	-0.16937105357646942
VLP116_D_C2	VLP116_D	F3a	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.5781401884058911	0.14598655700683594	-0.005498226266354322
VLP116_D_C2	VLP116_D	F3a	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.7579419109689195	0.2601758539676666	0.06926903128623962
VLP116_D_C2	VLP116_D	F3a	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.7136759080297678	-0.3115865886211395	-0.4016193747520447
VLP116_D_C3	VLP116_D	F4	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.6135481714136866	0.20553924143314362	-0.1879645437002182
VLP116_D_C3	VLP116_D	F4	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.7156417508986933	0.0863683819770813	-0.3643648624420166
VLP116_D_C3	VLP116_D	F4	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.5818526632076972	0.18788741528987885	0.018482282757759094
VLP116_D_C3	VLP116_D	F4	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.7728108535167284	0.609685480594635	0.22968608140945435
VLP116_D_C3	VLP116_D	F4	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.7500770143789792	-0.6892053484916687	-0.6137956380844116
VLP116_D_C4	VLP116_D	F3b	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.4056783059991352	0.22594402730464935	-0.11645077168941498
VLP116_D_C4	VLP116_D	F3b	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.5207618189752377	0.18378916382789612	-0.22904624044895172
VLP116_D_C4	VLP116_D	F3b	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.5349873868841271	-0.031378597021102905	-0.07913057506084442
VLP116_D_C4	VLP116_D	F3b	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.7368088555084029	-0.08433271199464798	-0.06611910462379456
VLP116_D_C4	VLP116_D	F3b	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.5875849192633942	-0.5765265822410583	-0.41432690620422363
VLP119_A_C1	VLP119_A	F1	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.6219010960204165	0.1790914237499237	-0.0611841045320034
VLP119_A_C1	VLP119_A	F1	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.6810830245918366	0.06802085787057877	-0.1257713884115219
VLP119_A_C1	VLP119_A	F1	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.44930309543247293	-0.006218896247446537	-0.05722889304161072
VLP119_A_C1	VLP119_A	F1	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.8207942893548563	-0.1033240333199501	-0.07255789637565613
VLP119_A_C1	VLP119_A	F1	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.7252972770734379	-0.457916259765625	-0.3302500247955322
VLP119_A_C2	VLP119_A	F3b	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.5203649611883682	0.02764977142214775	-0.13599690794944763
VLP119_A_C2	VLP119_A	F3b	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.6859140775212613	-0.19898554682731628	-0.2730633318424225
VLP119_A_C2	VLP119_A	F3b	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.5526078265078778	0.08319137245416641	-0.046733055263757706
VLP119_A_C2	VLP119_A	F3b	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.7977676522627263	0.26724308729171753	0.04238022863864899
VLP119_A_C2	VLP119_A	F3b	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.6845743619364612	-0.6211975812911987	-0.44281086325645447
VLP119_A_C3	VLP119_A	F2	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.6441311886801806	0.10921419411897659	-0.09857381880283356
VLP119_A_C3	VLP119_A	F2	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.7626649030235108	-0.10328434407711029	-0.20668795704841614
VLP119_A_C3	VLP119_A	F2	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.5285415766735228	0.016452480107545853	-0.057809554040431976
VLP119_A_C3	VLP119_A	F2	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.7175627388348585	0.02823738008737564	-0.0013900051126256585
VLP119_A_C3	VLP119_A	F2	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.8068194421029863	-0.43054381012916565	-0.32558560371398926
VLP119_A_C4	VLP119_A	F1	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.29474083896028147	0.03701421618461609	-0.08869288861751556
VLP119_A_C4	VLP119_A	F1	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.5679744482656643	-0.1377178430557251	-0.1871272176504135
VLP119_A_C4	VLP119_A	F1	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.5002185880625148	-0.01544676348567009	-0.08110155910253525
VLP119_A_C4	VLP119_A	F1	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.7506063416089602	-0.0009204964735545218	-0.026045890524983406
VLP119_A_C4	VLP119_A	F1	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.719242994377244	-0.6916912198066711	-0.3869551420211792
VLP119_A_C5	VLP119_A	F1	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.4516806596624596	0.1716037094593048	-0.09745881706476212
VLP119_A_C5	VLP119_A	F1	steatosis_associated	PLIN2;CIDEC;CIDEA;SCD;FABP1;CD36;DGAT2	PLIN2;SCD;CD36;DGAT2	4	0.6031166395451018	0.07772047072649002	-0.19089041650295258
VLP119_A_C5	VLP119_A	F1	inflammation	CCL2;CXCL8;IL1B;TNF;NFKBIA;S100A8;S100A9;LYZ;CD74	CCL2;NFKBIA;S100A9;LYZ	4	0.5796476321554578	0.032492607831954956	-0.06843460351228714
VLP119_A_C5	VLP119_A	F1	extracellular_matrix_fibrosis	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;SPP1;CXCL12;ACTA2;TAGLN	COL1A1;COL1A2;COL3A1;DCN;LUM;TIMP1;MMP2;CXCL12;ACTA2;TAGLN	10	0.7046074885129142	0.032738927751779556	-0.029579753056168556
VLP119_A_C5	VLP119_A	F1	hepatocyte_zonation	CYP2E1;CYP3A4;GLUL;AXIN2;HAL;CPS1;ASS1;PCK1;G6PC;TAT	CYP3A4;GLUL;HAL;CPS1;ASS1;PCK1;G6PC;TAT	8	0.6542695071082858	-0.3110686242580414	-0.3427749574184418
VLP119_D_C1	VLP119_D	F1	lipid_metabolic_reprogramming	ACACA;FASN;SCD;DGAT2;PNPLA3;PLIN2;CD36;CPT1A;PPARA;APOB;MTTP	ACACA;FASN;SCD;DGAT2;PLIN2;CD36;CPT1A;PPARA;MTTP	9	0.7620148179489438	0.25986447930336	-0.1272500604391098
