fold	cohort	observed	null_mean	null_ci_low	null_ci_high	empirical_p	permutations
A	full	0.6205218131387544	0.4563864125536415	0.45391587971159764	0.4587653770048309	0.009900990099009901	100
A	shared	0.6201365857312646	0.4595023010816995	0.45664879026360095	0.46229248197816825	0.009900990099009901	100
A	disjoint	0.6216892017638889	0.4462431629166392	0.4403406089228444	0.45147111459227574	0.009900990099009901	100
