target_key	stage	target_embryo	gene	gene_index	endpoint	method	value
50p_E1_to_E2	50% epiboly	E2	ccng1	46	spatial_pearson	hyperspatial_map_calibrated_fusion	0.6045976
50p_E1_to_E2	50% epiboly	E2	ccng1	46	spatial_pearson	anchor_only_calibrated	0.6090376
50p_E1_to_E2	50% epiboly	E2	cdh1	51	spatial_pearson	registered_idw_k12	0.31331918
50p_E1_to_E2	50% epiboly	E2	cdh1	51	spatial_pearson	hyperspatial_map_calibrated_fusion	0.8187294
50p_E1_to_E2	50% epiboly	E2	cdh1	51	spatial_pearson	anchor_only_calibrated	0.8141102
50p_E1_to_E2	50% epiboly	E2	cdh6	53	spatial_pearson	registered_idw_k12	0.23487473
50p_E1_to_E2	50% epiboly	E2	cdh6	53	spatial_pearson	hyperspatial_map_calibrated_fusion	0.50051266
50p_E1_to_E2	50% epiboly	E2	cdh6	53	spatial_pearson	anchor_only_calibrated	0.50051266
50p_E1_to_E2	50% epiboly	E2	cdkn1ca	54	spatial_pearson	registered_idw_k12	0.33156285
50p_E1_to_E2	50% epiboly	E2	cdkn1ca	54	spatial_pearson	hyperspatial_map_calibrated_fusion	0.6123752
50p_E1_to_E2	50% epiboly	E2	cdkn1ca	54	spatial_pearson	anchor_only_calibrated	0.6072169
50p_E1_to_E2	50% epiboly	E2	cenpf	58	spatial_pearson	registered_idw_k12	0.24898838
50p_E1_to_E2	50% epiboly	E2	cenpf	58	spatial_pearson	hyperspatial_map_calibrated_fusion	0.6238454
50p_E1_to_E2	50% epiboly	E2	cenpf	58	spatial_pearson	anchor_only_calibrated	0.62310237
50p_E1_to_E2	50% epiboly	E2	chaf1a	60	spatial_pearson	registered_idw_k12	0.12980722
50p_E1_to_E2	50% epiboly	E2	chaf1a	60	spatial_pearson	hyperspatial_map_calibrated_fusion	0.5027761
50p_E1_to_E2	50% epiboly	E2	chaf1a	60	spatial_pearson	anchor_only_calibrated	0.5111872
50p_E1_to_E2	50% epiboly	E2	chrd	61	spatial_pearson	registered_idw_k12	-0.2156791
50p_E1_to_E2	50% epiboly	E2	chrd	61	spatial_pearson	hyperspatial_map_calibrated_fusion	-0.2156791
50p_E1_to_E2	50% epiboly	E2	chrd	61	spatial_pearson	anchor_only_calibrated	0.59529144
50p_E1_to_E2	50% epiboly	E2	cldnd	63	spatial_pearson	registered_idw_k12	0.3686817
50p_E1_to_E2	50% epiboly	E2	cldnd	63	spatial_pearson	hyperspatial_map_calibrated_fusion	0.41236892
50p_E1_to_E2	50% epiboly	E2	cldnd	63	spatial_pearson	anchor_only_calibrated	0.3892521
50p_E1_to_E2	50% epiboly	E2	crabp2b	70	spatial_pearson	registered_idw_k12	0.06121847
50p_E1_to_E2	50% epiboly	E2	crabp2b	70	spatial_pearson	hyperspatial_map_calibrated_fusion	0.2130181
50p_E1_to_E2	50% epiboly	E2	crabp2b	70	spatial_pearson	anchor_only_calibrated	0.2472697
50p_E1_to_E2	50% epiboly	E2	cst3	74	spatial_pearson	registered_idw_k12	0.2468702
50p_E1_to_E2	50% epiboly	E2	cst3	74	spatial_pearson	hyperspatial_map_calibrated_fusion	0.46736932
50p_E1_to_E2	50% epiboly	E2	cst3	74	spatial_pearson	anchor_only_calibrated	0.46736932
50p_E1_to_E2	50% epiboly	E2	ctcf	75	spatial_pearson	registered_idw_k12	0.2020148
50p_E1_to_E2	50% epiboly	E2	ctcf	75	spatial_pearson	hyperspatial_map_calibrated_fusion	0.617258
50p_E1_to_E2	50% epiboly	E2	ctcf	75	spatial_pearson	anchor_only_calibrated	0.6380248
50p_E1_to_E2	50% epiboly	E2	cth1	76	spatial_pearson	registered_idw_k12	0.36040536
50p_E1_to_E2	50% epiboly	E2	cth1	76	spatial_pearson	hyperspatial_map_calibrated_fusion	0.559906
50p_E1_to_E2	50% epiboly	E2	cth1	76	spatial_pearson	anchor_only_calibrated	0.5311131
50p_E1_to_E2	50% epiboly	E2	ddx4	84	spatial_pearson	registered_idw_k12	0.36858872
50p_E1_to_E2	50% epiboly	E2	ddx4	84	spatial_pearson	hyperspatial_map_calibrated_fusion	0.4527326
50p_E1_to_E2	50% epiboly	E2	ddx4	84	spatial_pearson	anchor_only_calibrated	0.41771853
50p_E1_to_E2	50% epiboly	E2	dharma	85	spatial_pearson	registered_idw_k12	0.0006290509
50p_E1_to_E2	50% epiboly	E2	dharma	85	spatial_pearson	hyperspatial_map_calibrated_fusion	0.18011658
50p_E1_to_E2	50% epiboly	E2	dharma	85	spatial_pearson	anchor_only_calibrated	0.21668716
50p_E1_to_E2	50% epiboly	E2	dkc1	86	spatial_pearson	registered_idw_k12	0.40579653
50p_E1_to_E2	50% epiboly	E2	dkc1	86	spatial_pearson	hyperspatial_map_calibrated_fusion	0.7997086
50p_E1_to_E2	50% epiboly	E2	dkc1	86	spatial_pearson	anchor_only_calibrated	0.8122925
50p_E1_to_E2	50% epiboly	E2	dkk1b	87	spatial_pearson	registered_idw_k12	0.5245809
50p_E1_to_E2	50% epiboly	E2	dkk1b	87	spatial_pearson	hyperspatial_map_calibrated_fusion	0.69959766
50p_E1_to_E2	50% epiboly	E2	dkk1b	87	spatial_pearson	anchor_only_calibrated	0.6979659
50p_E1_to_E2	50% epiboly	E2	dld	88	spatial_pearson	registered_idw_k12	0.3668346
50p_E1_to_E2	50% epiboly	E2	dld	88	spatial_pearson	hyperspatial_map_calibrated_fusion	0.58032304
50p_E1_to_E2	50% epiboly	E2	dld	88	spatial_pearson	anchor_only_calibrated	0.5438399
50p_E1_to_E2	50% epiboly	E2	dlgap5	89	spatial_pearson	registered_idw_k12	0.19893627
50p_E1_to_E2	50% epiboly	E2	dlgap5	89	spatial_pearson	hyperspatial_map_calibrated_fusion	0.33751142
50p_E1_to_E2	50% epiboly	E2	dlgap5	89	spatial_pearson	anchor_only_calibrated	0.38948116
50p_E1_to_E2	50% epiboly	E2	dmd	91	spatial_pearson	registered_idw_k12	0.20793445
50p_E1_to_E2	50% epiboly	E2	dmd	91	spatial_pearson	hyperspatial_map_calibrated_fusion	0.2987713
50p_E1_to_E2	50% epiboly	E2	dmd	91	spatial_pearson	anchor_only_calibrated	0.29658708
50p_E1_to_E2	50% epiboly	E2	drll.2	93	spatial_pearson	registered_idw_k12	0.37979314
50p_E1_to_E2	50% epiboly	E2	drll.2	93	spatial_pearson	hyperspatial_map_calibrated_fusion	0.68925244
50p_E1_to_E2	50% epiboly	E2	drll.2	93	spatial_pearson	anchor_only_calibrated	0.74699014
50p_E1_to_E2	50% epiboly	E2	drll.3	94	spatial_pearson	registered_idw_k12	0.080320485
50p_E1_to_E2	50% epiboly	E2	drll.3	94	spatial_pearson	hyperspatial_map_calibrated_fusion	0.59517425
50p_E1_to_E2	50% epiboly	E2	drll.3	94	spatial_pearson	anchor_only_calibrated	0.6185062
50p_E1_to_E2	50% epiboly	E2	dynll1	97	spatial_pearson	registered_idw_k12	0.36001801
50p_E1_to_E2	50% epiboly	E2	dynll1	97	spatial_pearson	hyperspatial_map_calibrated_fusion	0.5880934
50p_E1_to_E2	50% epiboly	E2	dynll1	97	spatial_pearson	anchor_only_calibrated	0.61291337
50p_E1_to_E2	50% epiboly	E2	efna1a	101	spatial_pearson	registered_idw_k12	0.5443325
50p_E1_to_E2	50% epiboly	E2	efna1a	101	spatial_pearson	hyperspatial_map_calibrated_fusion	0.6066039
