method	targets	rho_res_pooled	residual_spatial_pearson_median	spatial_pearson	auprc_enrichment	dice	centroid_error	spatial_emd	log1p_rmse	moran_error
anchor_only_calibrated	6	0.5754375117861458	0.5023050407568613	0.5939986606438955	2.6484323927370585	0.543936832614872	0.017149169889952968	0.055748271369508884	0.6156817475954691	0.11662828221081005
atlas_plus_global_anchor_residual	6	0.46290693258144994	0.33271051943302155	0.5515996068716049	2.4492413195804197	0.5178033636095734	0.0185181192682705	0.05466077645353082	0.661136637131373	0.23616401351158253
atlas_plus_local_anchor_residual	6	0.4579143426655006	0.3236016035079956	0.5515311608711878	2.4319846372031324	0.522295164257747	0.019702904886283918	0.055473300681483685	0.6643414199352264	0.26644904767763006
gimvi_adapted	6	0.4816034917292264	0.4498171905676524	0.5215693414211273	2.3707689717418945	0.510994081543747	0.030758716910404518	0.06539110608726571	0.682318796714147	0.16028206818584917
hyperspatial_map_calibrated_fusion	6	0.5533677032308901	0.48714462916056317	0.597132404645284	2.6337875432691877	0.5416781852192132	0.016062400271045767	0.0540124744207486	0.620892196893692	0.21672820387708738
registered_idw_k12	6			0.39150793850421906	1.9553397196295528	0.4312718156867974	0.021666591082038084	0.05770303728499349	0.7582505544026693	0.4235067040102127
registered_nearest_neighbor	6	-0.027375293585591553	-0.0925742809971173	0.2995165189107259	1.6954388953976032	0.3933280825941187	0.023265997515960535	0.05828452886447482	0.8891704579194387	0.08821255588165307
transimpspa	6	0.5208160220906148	0.47671252985795337	0.5414802332719167	2.3831258587539	0.5103540843957507	0.025285467350234587	0.060070237899766295	0.6597034434477488	0.0970541915545861
