extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	rank	gene_index	gene	marginal_residual_pearson_gain	expected_source_cv_residual_pearson	coverage_mean_max_squared_correlation	redundancy_mean_pairwise_squared_correlation	max_abs_correlation_to_previous	genes_helped_count	genes_evaluated_count	top_supported_genes	coordinate_key	source_cells	selector_sample_cells	status	not_primary_panel	budget
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	1	224	krt4	0.30785032001128704	0.18945372803871696	0.09356894730562128	0.0	0.0	484	494	klf2a,grhl1,znf185,her6,krt8,aplnra,ackr3b,tfap2a,gata2a,alcamb	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	2	205	ism1	0.0442909400763129	0.23374466811502986	0.1175756235311265	0.0065746593822388335	0.0810842733348387	415	493	wnt11f2,ndr1,sdc4,foxh1,zswim5,gata5,syne2b,gata6,rbm4.3,dkk1b	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	3	102	efnb2a	0.02197983775252449	0.25572450586755435	0.12449542021838234	0.02082871201527056	0.2092546557592439	388	492	tbxta,lft1,her1,lft2,sebox,cldnd,lhx1a,dkk1b,foxc1a,zic2a	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	4	54	cdkn1ca	0.014871663163831816	0.27059616903138617	0.12814412481433748	0.055258835463239765	0.4453620936928948	372	491	mdm2,ccng1,xbp1,smtnl,tfap2c,cdt1,sox32,gbx1,si:dkey-261m9.12,tcf3b	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	5	92	dnmt3bb.2	0.00947921404903751	0.2800753830804237	0.13036225308114502	0.04041640145409857	0.23384952404034065	418	490	dscc1,pmp22b,rps3,kmt2bb,si:dkey-92i17.2,her8a,znf576.2,rpl5a,cdx4,ednraa	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	6	141	foxd5	0.006992787474722595	0.2870681705551463	0.13855980698271578	0.053967625059556705	0.4806652920781193	367	489	foxh1,sox3,ndr1,nasp,etv5b,zic2b,sox19a,sox11a,wnt11f2,zswim5	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	7	445	tmed2	0.010127113799888898	0.29719528435503517	0.14064133149013935	0.046017178127861554	0.23254180217388906	359	488	rpl4,ppp1r7,foxg1a,snrpd3,rac1a,gapdh,pfn2,pmp22b,arf5,nr2f2	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	8	125	fbln2	0.005279367550430958	0.30247465190546613	0.1425633029306546	0.03950290381273725	0.22218928373215976	352	487	skila,cd63,prdm1a,si:dkey-261h17.1,hoxb8a,nr2f2,mab21l2,tbx3b,her12,myod1	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	9	484	zgc:174154	0.004048554767093815	0.30652320667255994	0.1444470508095421	0.03584656454574787	0.2690541430587025	292	486	tbxta,wnt11f2,arl4ab,fgf8a,dmd,her7,cldnd,atoh1c,rrm2,mycb	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	10	41	casz1	0.0038920373077934722	0.3104152439803534	0.14636576044484226	0.032749039358987285	0.24153373579246512	321	485	ripply1,coq10b,irx5a,kazald2,clocka,kdrl,foxo1a,nr2f2,meis2a,cnmd	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	11	315	pcdh8	0.0031302854886909315	0.31354552946904435	0.14908711459531385	0.032301300168414634	0.3077177304181742	293	484	tbxta,arl4ab,sebox,dld,fscn1a,wnt11f2,rasgef1ba,mixl1,lft1,zic2a	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	12	197	id3	0.002380870676881419	0.31592640014592577	0.15094200346251455	0.029878627030131548	0.31528044357806956	285	483	msgn1,apoc1,her3,rnd1b,kif15,tfap2c,nanos3,twist1a,szl,ednraa	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	13	29	baz1b	0.00433226175824275	0.3202586619041685	0.15296997423781686	0.03161631050355841	0.43893828429377063	354	482	znf576.2,rbmx,irf2a,nsd2,rbm7,etv5a,anp32e,ncapd2,rps3,dynll1	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	14	212	kdrl	0.0025757013399781425	0.32283436324414666	0.154810245097035	0.030979873866369648	0.3096113229362982	313	481	mab21l2,rpl4,cnmd,msx1b,igfbp1a,nr6a1a,foxp1b,meis2a,ednraa,foxc1b	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	15	444	tmed10	0.0020374660418346346	0.3248718292859813	0.15672654950443904	0.028512292644139604	0.2300950029035396	273	480	zgc:113372,pmp22b,pbx1b,rpl5a,srp19,tbx1,dand5,eif3ea,foxg1a,sox10	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	16	57	cdx4	0.0026932690577143314	0.3275650983436956	0.1589374852534377	0.028048942081282176	0.27396168819513245	271	479	pbx4,noto,tbxta,eve1,cldnd,dld,fgf8a,sox32,wnt11f2,rrm2	global_sphere	8547	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	1	224	krt4	0.3927616810480606	0.23029604512934376	0.1162366585940037	0.0	0.0	492	494	znf185,klf2a,alcamb,aplnra,grhl1,krt8,tfap2a,gata2a,klf2b,krt18a.1	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	2	158	gata5	0.07285555153288387	0.30315159666222763	0.15312826479824712	0.04065265124247945	0.20162502632976753	429	493	ndr1,gata6,mki67,sox3,foxd5,rrm2,ism1,fgf8a,dkk1b,foxa3	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	3	300	oclna	0.034537356661480556	0.3376889533237082	0.15610270420913086	0.017167376296989376	0.09088226679020213	420	492	nckap5l,rpl10,supt16h,arl4d,dlgap5,unc5b,pbx4,nr2f2,bcl2l1,casz1	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	4	376	si:ch211-113a14.12	0.018480806123563898	0.3561697594472721	0.16185977834018386	0.07393515051833204	0.5159221955703587	434	491	rbm4.3,si:dkey-261m9.12,dynll1,blf,snrpd3,rac1a,si:dkey-108k21.14,dld,dynll2b,srp19	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	5	398	snai2	0.01412871409861488	0.37029847354588696	0.18070822555525207	0.09873843305928984	0.6004432315616695	398	490	mycn,sox11a,zic2b,tfap2c,sox11b,bambia,sox3,mych,etv4,nasp	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	6	254	mdm2	0.009973255398556868	0.38027172894444383	0.1870472465964405	0.10524433735338119	0.5557455445338026	355	489	ccng1,cdkn1ca,akap12b,rreb1b,cdt1,atp2b1a,smtnl,ccnf,ptp4a2b,lamp2	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	7	392	six7	0.005605576821375968	0.3858773057658198	0.18901875637421378	0.09090489898790884	0.3585377734853894	395	488	clocka,lmo4a,tbx3b,tead1b,foxg1a,meis2a,ntd5,snrpd3,lgals3b,mef2d	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	8	66	cmtm6	0.005174310201253918	0.3910516159670737	0.19079360780411608	0.07996491936107865	0.3538681053726505	352	487	C7H16orf87,apex1,meox1,foxb1a,ube2c,ppan,snrpg,rpl5a,zc4h2,tbxtb	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	9	278	nanos3	0.0037307802354751285	0.39478239620254885	0.19279070572573517	0.06524081203473991	0.204153294857077	322	486	rpl10,ddx4,msgn1,zgc:175088,cdx4,ripply1,hdlbpa,pbx4,irx7,creb3l2	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	10	436	tcf7l2	0.003353550096676372	0.3981359462992252	0.19461216640367715	0.06014898350522384	0.3154065422439398	342	485	gcm2,foxg1a,nkx2.2a,meox1,CU570769.1,PCDH8,meis3,hoxc8a,rbm4.3,tcf7	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	11	186	hic1l	0.00277069516494044	0.40090664146416566	0.1965760873560262	0.05115594155886757	0.20495676764365067	360	484	zgc:175088,prdm1a,tuba8l2,dlx3b,hoxc6a,zfand5a,fzd7b,snrpc,rpl19,her2	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	12	22	atoh1c	0.002504260560461935	0.4034109020246276	0.19845038535146944	0.04677548532615428	0.26972988224995054	313	483	prdm1a,etv2,hoxb9a,pmp22b,dlgap5,igfbp1a,emx3,tcf7,higd1a,gsc	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	13	485	zgc:175088	0.001838508415447082	0.4052494104400747	0.20046836255893002	0.0400889352822423	0.12494157972969362	352	482	prdm1a,rreb1b,creb3l1,fzd8a,rpl19,snrpg,fzd7b,rpl6,notch1a,cfl1l	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	14	447	tph1b	0.0013006842246806594	0.40655009466475533	0.20340260230625168	0.03709327464832465	0.2585334001778439	241	481	chrd,arl4ab,cldnd,tbxta,zswim5,kmt5aa,ccng1,sall3b,kirrel3l,noto	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	15	472	wnt8a	0.0014022722061154957	0.40795236687087083	0.2052795536714808	0.035383505753684485	0.2670378142578116	255	480	cth1,sox2,fgf8a,vent,bmp2b,skilb,h1-0,ved,lft1,axin2	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	50p_E2_to_E1	50% epiboly	E2	E2→E1	0.1	1.0	16	39	C7H16orf87	0.0016071373868180028	0.40955950425768883	0.20728204757124152	0.03136937744631408	0.0957373472081378	293	479	cd63,notch1a,creb3l1,zfand5a,atf6,rreb1b,bach1b,cxcl12b,foxb1a,etv5a	global_sphere	10225	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	1	491	znf185	0.2667472546249837	0.12794773434077805	0.0753791590361889	0.0	0.0	477	494	krt4,grhl1,eppk1,elf1,perp,tagln2,tfap2a,oclna,cdh1,krt8	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	2	397	snai1a	0.10140709731997744	0.2293548316607555	0.11171896352706474	0.09941905776477604	0.315307877739799	413	493	mycn,sox19a,helb,sox11a,gata6,rhov,zswim5,ism1,nrarpa,sox2	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	3	473	xbp1	0.03020142840480211	0.2595562600655576	0.12398843960000251	0.07112502577841401	0.24545041356648958	369	492	nrarpa,tp63,tph1b,lmo4a,foxd5,lft2,fezf2,mycn,zeb2b,rasgef1ba	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	4	454	tuba8l2	0.017629041037048376	0.277185301102606	0.13329351492637692	0.0872850910942992	0.4315220166339632	363	491	klf8,pcdh10b,six4a,tcf7l1a,sox5,fscn1a,foxc1a,meis1b,tcf3b,her9	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	5	34	bmp4	0.015141391705740914	0.2923266928083469	0.14416704321384083	0.05689292789969584	0.17838337147635916	344	490	szl,bambia,tp63,foxi1,ackr3b,msx3,vgll4l,apoc1,cdx4,irx7	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	6	404	sox11b	0.014885959248051805	0.3072126520563987	0.15689222541103853	0.0627462499851893	0.44147370247430107	380	489	irx7,mych,pbx4,zic2b,fzd7a,rbbp4,tuba8l4,mcm7,mcm3,tubb2b	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	7	241	lmo4a	0.0093674048082375	0.3165800568646362	0.16319784766823842	0.06500113756100163	0.5600062602902143	235	488	foxb1b,gbx1,hoxb1b,kazald2,zeb2b,dact2,fzd8a,chrd,cxcr4a,gli1	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	8	201	irx1b	0.005295848452701313	0.3218759053173375	0.16686148379878893	0.06299580986920392	0.321787890170163	317	487	irx7,cdx4,otx1,lhx5,chrd,tbxta,otx2a,tbxtb,her7,her5	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	9	52	cdh2	0.009874325892412272	0.3317502312097498	0.16912406838321903	0.06104325280264205	0.45315007805855956	376	486	tmed10,admp,trps1,hoxc8a,fezf2,hic1l,si:ch211-113a14.12,her9,rpl4,six7	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	10	126	fezf2	0.012034552500636064	0.34378478371038584	0.17331924455306524	0.05310590891025331	0.2787166756031691	291	485	six7,otx2b,mych,igfbp1a,admp,lratb.1,fzd8a,zic2a,otx1,bambia	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	11	145	foxn2b	0.007485369476510351	0.3512701531868962	0.17539833007009276	0.04934954360884734	0.3437251391697457	351	484	prickle1b,klf8,tcf7l1a,tp63,akap12b,tcf3b,rpl19,wnt11f2,rpl6,aldob	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	12	411	sox5	0.0036967814353679462	0.35496693462226414	0.1774686608390074	0.04664243957059665	0.43210549318130664	312	483	lbx2,fn1b,msgn1,efemp2b,foxc1b,dld,tbx16l,meis1b,foxc1a,six4a	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	13	80	cxcr4a	0.0037216480578267652	0.3586885826800909	0.17958655233610996	0.040093772514418584	0.09646772192627263	294	482	sox17,ackr3b,foxa2,vgll4l,lima1a,tp63,sox32,cdc42ep4a,six4b,grhl2b	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	14	152	fzd7b	0.00590438238909663	0.36459296506918754	0.18147841553330618	0.03666539696486302	0.2661028541696481	336	481	ccne2,rpl4,rrm2,arhgap5,tubb2b,rpl31,pfn2,rac1a,rps3,nkx1.2la	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	15	97	dynll1	0.0024423089477008664	0.3670352740168884	0.1837207832754944	0.03478938432861389	0.3272001896141112	274	480	rbm4.3,apoc1,anp32e,mycb,nasp,akap12b,rplp2l,rpl10,hoxc8a,tmed10	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E1_to_E2	75% epiboly	E1	E1→E2	10.0	1.0	16	144	foxi1	0.005071340959756421	0.3721066149766448	0.18885164634414414	0.03627113599081834	0.44617016916839375	306	479	tp63,klf2a,dlx3b,ved,bmp2b,PCDH8,msx3,vgll4l,szl,bambia	global_sphere	18596	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	1	227	lamb1a	0.28984805782298473	0.1587583370989869	0.07211432240163648	0.0	0.0	486	494	tbx16,alcamb,fscn1a,snai1a,lef1,tfap2a,nid2a,sp5l,vrtn,fn1a	global_sphere	17945	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	2	403	sox11a	0.0991263650578576	0.2578847021568445	0.10357918960870234	6.853673697577573e-06	0.0026179521954339756	419	493	tfap2c,xbp1,tcf7l1a,sox19a,mycn,irx7,rrm2,her8a,sox2,nrarpa	global_sphere	17945	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	3	217	klf2b	0.02121288958635864	0.27909759174320314	0.1236503666642103	0.02729083551242713	0.21805761424506387	394	492	gata2a,fezf2,dlx3b,klf2a,tfap2a,foxi1,admp,fgf8a,msx1b,elf1	global_sphere	17945	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	4	229	lamp2	0.015394598898894662	0.2944921906420978	0.1356813299005041	0.06802825503652313	0.41047563157954553	360	491	fzd8a,prickle1b,gata6,prdm1a,atp2b1a,ccng1,tram1,cst3,akap12b,hdlbpa	global_sphere	17945	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	5	197	id3	0.011832389125667586	0.3063245797677654	0.13951167203411655	0.06408481251780741	0.3943443252240154	223	490	six4b,six7,tbx1,nog1,apoc1,prickle1b,six3b,rnd1b,foxp1b,epha2a	global_sphere	17945	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	6	305	otx2b	0.013667782146375318	0.3199923619141407	0.14802023034449865	0.053684070471928205	0.3497300672778527	332	489	otx1,fzd8a,hoxb1b,fezf2,lratb.1,otx2a,lhx5,mych,cdx4,six7	global_sphere	17945	5000	post-hoc experimental-design extension	True	16
post-hoc experimental-design extension	75p_E2_to_E1	75% epiboly	E2	E2→E1	10.0	1.0	7	486	zic2a	0.008684496073150194	0.3286768579872909	0.15078600768548328	0.060468562135587545	0.43438616280529724	319	488	zic3,fzd7a,meis3,drll.3,six4a,irx1b,epha2a,pcdh10b,irx7,pax3a	global_sphere	17945	5000	post-hoc experimental-design extension	True	16
