extension	setting	stage	source_embryo	direction	frozen_ridge	frozen_gain	anchor_a	anchor_b_conditioned	anchor_a_rank	anchor_b_rank	conditional_utility_median_residual_pearson	conditional_mse_improvement_median	fraction_genes_helped_conditionally	genes_evaluated	interpretation
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	gata5	foxd5	2	10	0.004623651007485519	0.0007333525737889257	0.732776617954071	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	gata5	ppp1r7	2	11	0.002254247318481173	0.0003413431533610123	0.7118997912317327	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	gata5	cfl1l	2	12	0.002069162824249182	0.00031768730546694046	0.7056367432150313	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	gata5	cdx4	2	13	0.002364040346324703	0.000360595995057722	0.7056367432150313	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	gata5	hoxb1b	2	14	0.0021815360575078158	0.0003037301286598626	0.6993736951983298	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	gata5	sox10	2	15	0.002267263003375375	0.00029175372453782433	0.7077244258872651	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	gata5	foxg1a	2	16	0.002295333108016162	0.000329761049593702	0.7077244258872651	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	klf2a	3	1	0.004918330660241221	0.0007720744618405634	0.7118997912317327	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	gata5	3	2	0.0019314473974387236	0.0003225294992181271	0.6722338204592901	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	mdm2	3	4	0.0022343128662521416	0.00036981737526531333	0.6847599164926931	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	tfap2c	3	5	0.0019891247127411804	0.00030032234956128834	0.6805845511482255	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	cxcr4a	3	6	0.0021800165235805746	0.0003865563923114157	0.7118997912317327	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	dact2	3	7	0.0025365228289245256	0.0003831928946570473	0.7118997912317327	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	bmp7a	3	8	0.0022418408499792764	0.0003686523536144959	0.6701461377870563	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	efnb2a	3	9	0.0029157438049389195	0.0004452497319981652	0.7056367432150313	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	foxd5	3	10	0.0019801996293694057	0.0003215723257841141	0.6847599164926931	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	ppp1r7	3	11	0.0019454327971058227	0.0003211009485620808	0.6868475991649269	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	cfl1l	3	12	0.00199126850877987	0.0003068884594759347	0.6784968684759917	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	cdx4	3	13	0.0024333665536208637	0.0003727588825849226	0.6910229645093946	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	hoxb1b	3	14	0.001969247234892335	0.00030912729632494307	0.6805845511482255	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	sox10	3	15	0.0019676791988713083	0.00030728405750898857	0.6805845511482255	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	perp	foxg1a	3	16	0.001941048897385833	0.0003202413107904478	0.6764091858037579	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	klf2a	4	1	0.0018143242992688657	0.0003791389067410167	0.7223382045929019	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	gata5	4	2	0.0020800700212249	0.00048677064719815366	0.7014613778705637	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	perp	4	3	0.0017208544472943899	0.0003131071724410128	0.6784968684759917	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	tfap2c	4	5	0.001838424120516824	0.00036834871827640114	0.6931106471816284	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	cxcr4a	4	6	0.001525284849091424	0.000287076106866041	0.6764091858037579	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	dact2	4	7	0.0015415132594143177	0.00029259825525784766	0.6805845511482255	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	bmp7a	4	8	0.00235748915815992	0.0004736186561498379	0.7306889352818372	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	efnb2a	4	9	0.0018219225187194876	0.00035478385511023003	0.6910229645093946	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	foxd5	4	10	0.0015676326537841512	0.0002567770658273849	0.6638830897703549	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	ppp1r7	4	11	0.0018318016972581064	0.000376792478208432	0.6868475991649269	479	lower conditional utility indicates greater substitution/redundancy
post-hoc experimental-design extension	50p_E1_to_E2	50% epiboly	E1	E1→E2	10.0	1.0	mdm2	cfl1l	4	12	0.0022215920592474347	0.0003943215554571	0.6868475991649269	479	lower conditional utility indicates greater substitution/redundancy
