donor	map_residual_spatial_pearson	map_minus_idw_spatial_pearson	paired_gene_median_map_minus_idw_spatial_pearson	idw_minus_map_log1p_rmse	paired_gene_median_idw_minus_map_log1p_rmse	map_minus_idw_auprc_enrichment	map_minus_idw_dice	idw_minus_map_centroid_error	idw_minus_map_spatial_emd_2d	spatial_pearson_improved_fraction	rmse_improved_fraction
Br5292	0.5214355564923375	0.012932774939502466	0.0034164592312503294	0.026633041600386306	0.015239415690302849	0.13668877210479796	0.023549698394716073	-0.007525259758617533	-0.00228983260894961	0.4543134795451571	0.4851509950798295
Br5595	0.5379222190109003	0.013716339769633754	0.0	0.03291810800631839	0.015551454698046049	0.1273189240965638	0.02929372322515534	-0.005238853687330171	-0.0022319608201419767	0.4710478278366643	0.5068320859040207
Br8100	0.5316741917768237	0.009631554472730975	0.0	0.02530214935541153	0.0	0.25011617850845935	0.04267533277679382	-0.0054077577067536756	-0.0023989642199542752	0.37604568508923586	0.4110585521341139
