specimen_id	tumor	source_platform	target_platform	gene	target_bin_count	measured_anchor_count	hidden_shared_gene_count	IDW_spatial_pearson	MAP_spatial_pearson	delta_spatial_pearson_MAP_minus_IDW	IDW_log1p_RMSE	MAP_log1p_RMSE	delta_RMSE_MAP_minus_IDW	MAP_residual_pearson	MAP_gt_IDW_spatial_pearson	MAP_lt_IDW_log1p_RMSE	positive_MAP_residual_pearson
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	AAMP	582568	16	697	-0.0021679707579538	0.0755348514045011	0.0777028221624549	0.2412452857270984	0.1909660848575522	-0.05027920086954621	0.6085722009168986	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ABCC4	582568	16	697	0.0006222388531042	0.1178036600092186	0.11718142115611441	0.1602700130171176	0.1212749131321241	-0.0389950998849935	0.6526195531600224	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ABCF3	582568	16	697	7.525464902144247e-05	0.0705847117231611	0.07050945707413965	0.1788478447733858	0.1448187862672946	-0.0340290585060912	0.58632725881617	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ABHD11	582568	16	697	-0.0055321771812478	0.2035528780190532	0.209085055200301	0.2622892864448976	0.1868992890880148	-0.07538999735688279	0.6999170701028241	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ACAP2	582568	16	697	0.0038529801021133	0.0570548069857551	0.0532018268836418	0.2036171046791822	0.1605915618189869	-0.043025542860195304	0.612708274384932	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ACTL6A	582568	16	697	0.0005211355016282	0.1277323954922338	0.12721125999060562	0.2418857554277934	0.2164231707346405	-0.02546258469315288	0.4570503502000528	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ACTN1	582568	16	697	0.0019941171726553	0.2363614896336406	0.2343673724609853	0.2882570869718081	0.2208677670500387	-0.06738931992176939	0.6431178169935077	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ACTN4	582568	16	697	-0.0053376245934446	0.3066861479432964	0.312023772536741	0.5310527712923485	0.4929622387858381	-0.0380905325065104	0.4555414562540787	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ACVR1	582568	16	697	0.0005400081984879	0.0005400081984879	0.0	0.1686396888386009	0.1686396888386009	0.0		False	False	False
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ADAMTS1	582568	16	697	0.0075348184880992	0.3242494380253811	0.31671461953728186	0.5216719989183006	0.4744501526132481	-0.04722184630505255	0.4507313864702048	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ADAR	582568	16	697	-0.0026804208118754	0.210866606018803	0.2135470268306784	0.4898813540184488	0.4296517230460224	-0.060229630972426396	0.5232572662977638	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ADIPOR1	582568	16	697	-0.0029355421112817	0.1031268741593416	0.10606241627062331	0.2949730440867218	0.2597092110241557	-0.03526383306256614	0.4893857374467271	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ADNP	582568	16	697	0.0011758561962015	0.1986029673163464	0.1974271111201449	0.3216044251352829	0.3008326208109806	-0.020771804324302312	0.3873112797545281	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	AHR	582568	16	697	-0.0050760222125206	0.2498295876869957	0.2549056098995163	0.3942449055006455	0.373133680148953	-0.02111122535169252	0.374823401311492	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	AIFM1	582568	16	697	0.00173357246227	0.2591621917869844	0.2574286193247144	0.2682758841620161	0.2500378457326889	-0.018238038429327197	0.3857174562801136	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	AKR1B1	582568	16	697	-0.0015538668083627	0.132799580959648	0.1343534477680107	0.2589746046569434	0.2208352794160567	-0.03813932524088667	0.5280165994439702	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	AKT1	582568	16	697	-0.0026718968603971	0.2295292201340199	0.232201116994417	0.401141609625511	0.3386255372749964	-0.0625160723505146	0.5527818155891894	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	AKT2	582568	16	697	0.0004454370292073	0.1586880931775446	0.1582426561483373	0.2823072555961337	0.2575109776996329	-0.024796277896500796	0.4339862243420276	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ALYREF	582568	16	697	-0.005584440826231	0.2266519640918806	0.2322364049181116	0.3476283911066463	0.3281963038242638	-0.019432087282382493	0.3675744556830883	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ANKHD1	582568	16	697	-0.0020502246405013	0.1497301230839452	0.1517803477244465	0.2581297659350479	0.2209619333122082	-0.03716783262283968	0.5250853657915211	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ANKRD17	582568	16	697	0.0002564160827318	0.0002564160827318	0.0	0.1971251227556863	0.1971251227556863	0.0		False	False	False
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ANKS1A	582568	16	697	0.0001465440470564	0.0913591890743549	0.0912126450272985	0.1805131460848027	0.1427642561086579	-0.03774888997614481	0.6105757272430512	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ANP32E	582568	16	697	0.0012943066319331	0.1637504944205493	0.16245618778861617	0.2899676803342443	0.2525632580840384	-0.037404422250205904	0.5030680980178854	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ANXA2	582568	16	697	0.0018420832081475	0.3377083245715102	0.3358662413633627	0.6430035739009948	0.6088913347565964	-0.034112239144398426	0.4320284119326514	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ANXA5	582568	16	697	0.0084694039589088	0.2795787767034876	0.2711093727445788	0.4341523658345133	0.3990252710158193	-0.03512709481869397	0.4477017852099253	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	AP1B1	582568	16	697	-0.0022017748098473	0.1965420090391713	0.19874378384901858	0.2874957323710607	0.2524240626665133	-0.03507166970454739	0.4901400190541546	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	AP2A1	582568	16	697	-0.0006528257855101	-0.0006528257855101	0.0	0.296340588766911	0.296340588766911	0.0		False	False	False
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	AP3D1	582568	16	697	-0.0029770073877627	-0.0029770073877627	0.0	0.2305219801129993	0.2305219801129993	0.0		False	False	False
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	APEX1	582568	16	697	-0.0029319547308746	0.2387869359003825	0.2417188906312571	0.4085738546945476	0.3600747745011001	-0.04849908019344751	0.5021679175166027	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	API5	582568	16	697	-0.0035291822037646	0.134404952307605	0.1379341345113696	0.2988695404094951	0.2675489254602121	-0.03132061494928301	0.4663860811879252	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	APMAP	582568	16	697	0.0009574440452573	0.1158768821392246	0.1149194380939673	0.2258837062158471	0.1930234664158536	-0.0328602397999935	0.5253233014015933	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	APOL1	582568	16	697	-0.0137885801298576	0.3701580517140245	0.3839466318438821	0.704741502698769	0.5565628955202799	-0.14817860717848907	0.6646329272758454	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	APOL2	582568	16	697	-0.0092690759700408	0.3410740879018159	0.3503431638718567	0.489067002195017	0.4079127688427241	-0.08115423335229288	0.5756495609894368	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	APOL6	582568	16	697	-0.000679627012797	0.2287610944641561	0.2294407214769531	0.381771640359312	0.355079244936566	-0.026692395422745985	0.4142791872431799	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	APP	582568	16	697	0.0027328706083722	0.2590360121138786	0.2563031415055064	0.6554807284110473	0.6104616862456616	-0.04501904216538577	0.4774902445286156	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ARF1	582568	16	697	-0.0039524265442293	0.1848882127637891	0.18884063930801842	0.4518128043700637	0.4299260241529152	-0.021886780217148516	0.3792856714249613	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ARF6	582568	16	697	-0.0061914223833577	0.1264839057140379	0.1326753280973956	0.3259747480175753	0.292517152438879	-0.03345759557869632	0.4648035120115601	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ARHGEF2	582568	16	697	-0.0007960621070257	0.1404504818922214	0.1412465439992471	0.2997445785455984	0.2641775255495453	-0.03556705299605306	0.4881609172422115	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ARID1A	582568	16	697	0.0007102563873335	0.0865345434725719	0.0858242870852384	0.2164131157255608	0.1870229387180972	-0.029390177007463603	0.5090657015793951	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ASXL1	582568	16	697	-0.0011616676796441	0.1048681094526251	0.1060297771322692	0.2319004922712507	0.1668946860506868	-0.0650058062205639	0.6914500071286273	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ATF3	582568	16	697	-0.000371634569333	-0.000371634569333	0.0	0.350514843808948	0.350514843808948	0.0		False	False	False
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ATF4	582568	16	697	0.0067327147469476	0.2042746765686508	0.19754196182170322	0.5633602573179867	0.5421051403210071	-0.021255116996979573	0.374774440163798	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ATL3	582568	16	697	3.445179623104105e-05	3.445179623104105e-05	0.0	0.2450779344526068	0.2450779344526068	0.0		False	False	False
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ATP1A1	582568	16	697	-0.0042626450051582	0.3642408212809274	0.3685034662860856	0.5215797627564069	0.5091035432509634	-0.012476219505443531	0.2961291462079761	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ATP2A2	582568	16	697	-0.0026325621138005	0.2030875455303968	0.2057201076441973	0.3365778390963113	0.2950132473693836	-0.04156459172692767	0.50559936031161	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	ATPAF1	582568	16	697	0.0002740173963184	0.0988250423057287	0.0985510249094103	0.1851837841788263	0.1528018324649382	-0.03238195171388811	0.5650659515341593	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	BACE2	582568	16	697	-0.0005036175134648	0.1501661757990169	0.1506697933124817	0.2594932445536334	0.2242532209631834	-0.035240023590449976	0.5141613991152478	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	BAG6	582568	16	697	-0.0008311631885435	0.1723790821590957	0.1732102453476392	0.3218548680318674	0.3066137200368207	-0.015241147995046722	0.3426028892828409	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	BCAM	582568	16	697	-0.0008159048341924	0.3269731299751866	0.32778903480937904	0.3424321277950591	0.2659343420937455	-0.0764977857013136	0.6300994649236997	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	BCCIP	582568	16	697	-0.0053761599072316	0.2144133987179225	0.2197895586251541	0.3294201866967747	0.2977401242494538	-0.03168006244732091	0.4543159934200769	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	BCL11A	582568	16	697	-0.0033319950808058	0.2506760903948272	0.25400808547563297	0.2466896502766604	0.2176606138622568	-0.029029036414403603	0.482252657413492	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	BCL2L1	582568	16	697	-0.0015934926925058	0.1572768335684923	0.15887032626099812	0.3439185281572486	0.312307911202639	-0.031610616954609594	0.4488046381000395	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	BCL2L13	582568	16	697	-0.000526313337514	0.0303159371636822	0.0308422505011962	0.1665763242410941	0.126096571967811	-0.0404797522732831	0.6513858248752074	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	BCL6	582568	16	697	-0.0001249891366007	0.1132612761973223	0.113386265333923	0.2309128040431119	0.1622093870865649	-0.068703416956547	0.7083034393680974	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	BMPR2	582568	16	697	0.0021410888462607	0.0747690710277297	0.072627982181469	0.2518380637544586	0.2109807992020322	-0.040857264552426414	0.5542314936378372	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	BRD4	582568	16	697	-0.000517107099945	0.0826908969860473	0.0832080040859923	0.3193694811307784	0.280746730763284	-0.03862275036749441	0.4944739960603388	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	C1QBP	582568	16	697	-0.0049504622898772	0.2901386302711086	0.2950890925609858	0.4442099155112432	0.428954923135404	-0.015254992375839216	0.316157505698047	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	CALM3	582568	16	697	-0.0005518957349783	0.0696099647201999	0.0701618604551782	0.2624475576734067	0.2300367804309995	-0.03241077724240721	0.4941092664972849	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	CAMSAP2	582568	16	697	-0.0010939760190954	-0.0010939760190954	0.0	0.1867190707882431	0.1867190707882431	0.0		False	False	False
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	CAND1	582568	16	697	-0.000323663646033	0.1388334188363645	0.1391570824823975	0.3341517133879391	0.2819251249162606	-0.05222658847167849	0.5453558523269686	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	CANX	582568	16	697	-0.0027969435765403	0.3379080233752755	0.3407049669518158	0.5382864953330141	0.522123702334463	-0.016162792998551057	0.3359462823012021	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	CAPN1	582568	16	697	-0.0015111517486577	0.0641550715004711	0.0656662232491288	0.2153791119242135	0.1365361783105794	-0.07884293361363409	0.7924136249653526	True	True	True
Benchmark_02	OV	Visium HD FFPE	Xenium 5K	CARM1	582568	16	697	-0.0016670732750549	0.0901309533821737	0.0917980266572286	0.2161700559269521	0.1732907346548367	-0.04287932127211541	0.5966657505011146	True	True	True
