pair_id	specimen_id	tumor	source_platform	target_platform	gene	IDW_spatial_pearson	MAP_spatial_pearson	delta_spatial_pearson_MAP_minus_IDW	IDW_log1p_RMSE	MAP_log1p_RMSE	delta_RMSE_MAP_minus_IDW	IDW_residual_pearson	MAP_residual_pearson	source_guard_supported	source_spatial_score	representative_source_only_pool
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP1A1	-0.0002790798364725	0.1466836206176027	0.1469627004540752	0.3812978841821439	0.3645736523128202	-0.016724231869323702		0.3141076169336981	True	-0.0036244236398488	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP1B1	-0.0051996503433984	0.1267769964467597	0.13197664679015808	0.4113173784176864	0.3837268573319948	-0.0275905210856916		0.3749760268491415	True	0.0346527658402919	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP2A2	0.0003992856914799	0.0919708886962861	0.0915716030048062	0.3414396357505667	0.3017499152238929	-0.0396897205266738		0.4713542026415763	True	0.0189897716045379	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP2B4	-0.0004172792473584	0.0761974511341221	0.0766147303814805	0.3461935137173877	0.2852481169178796	-0.06094539679950811		0.5694660716532943	True	0.0361519008874893	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP5F1B	0.0021863942741711	0.1259118480657519	0.1237254537915808	0.4225297654086394	0.3923242844889305	-0.030205480919708927		0.3898261290532938	True	0.0224245935678482	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP5F1E	-0.0009574418906702	0.0466077483275962	0.0475651902182664	0.2614940340512882	0.2015138776199718	-0.05998015643131638		0.6374337088650833	True	0.0029235887341201	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP5ME	-0.0028169211677266	0.089200120438894	0.0920170416066206	0.3554167432645107	0.3380744481740377	-0.017342295090473026		0.3312444902926901	True	0.0101405968889594	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP6AP1	0.0018332015485653	0.1237965336439757	0.12196333209541041	0.3804072748807882	0.3182412023425908	-0.06216607253819739		0.5461399410843544	True	0.0277416557073593	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP6V1A	0.0007529734557879	0.0512234692917312	0.050470495835943305	0.2537850848789811	0.2297882785563556	-0.02399680632262549		0.4331437556556084	True	-0.0053297332488	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP6V1B2	-0.0002009858859904	0.0846866136037091	0.08488759948969951	0.2983130129474817	0.2651277538846709	-0.03318525906281078		0.4716444606446734	True	0.0005280459299683	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP6V1C1	0.0001601777751989	0.0684714517482592	0.06831127397306029	0.2862496764132126	0.2578680747505367	-0.028381601662675893		0.4390145700576939	True	0.0033338104840368	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP6V1E1	-9.686635932317856e-05	0.0384222973709741	0.038519163730297276	0.2829593038198887	0.2636373416734682	-0.019321962146420513		0.3759943707412693	True	0.0080578979104757	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATP9A	0.002531890686969	0.0994699639571331	0.0969380732701641	0.2964004153208659	0.2750324472612147	-0.021367968059651243		0.3794054358246163	True	0.0013313603121787	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATRN	0.0009855970123196	0.0623531018673137	0.0613675048549941	0.2637030542896652	0.2415871614361957	-0.02211589285346946		0.407735269604199	True	0.0188716277480125	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	ATXN3	0.0004678039462349	0.0474650276126642	0.0469972236664293	0.2494068578523051	0.2264556807076029	-0.022951177144702184		0.4237703529911377	True	0.017915803939104	False
