donor	adjacent_pair	map_residual_spatial_pearson	map_minus_idw_spatial_pearson	paired_gene_median_map_minus_idw_spatial_pearson	idw_minus_map_log1p_rmse	paired_gene_median_idw_minus_map_log1p_rmse	map_minus_idw_auprc_enrichment	map_minus_idw_dice	idw_minus_map_centroid_error	idw_minus_map_spatial_emd_2d	spatial_pearson_improved_fraction	rmse_improved_fraction	directions
Br5292	Br5292_pos0	0.5263812315658922	0.009046866482185856	0.0	0.023530299464861543	0.0	0.10804007850150288	0.020408914750997903	-0.008631058212580126	-0.0030001548300087853	0.3826724377493719	0.4161955484779542	151507_to_151508;151508_to_151507
Br5292	Br5292_pos300	0.5164898814187828	0.016818683396819075	0.006832918462500659	0.02973578373591107	0.030478831380605698	0.16533746570809305	0.026690482038434243	-0.00641946130465494	-0.0015795103878904343	0.5259545213409423	0.5541064416817049	151509_to_151510;151510_to_151509
Br5595	Br5595_pos0	0.5377715838268893	0.012596930860290987	0.0	0.030941540996233613	0.0	0.13517196103450446	0.02988057150199766	-0.0023014351900170382	-0.0008363918513169151	0.45779328218524384	0.4946775819157908	151669_to_151670;151670_to_151669
Br5595	Br5595_pos300	0.5380728541949115	0.01483574867897652	0.0	0.03489467501640317	0.031102909396092098	0.11946588715862316	0.02870687494831302	-0.008176272184643304	-0.0036275297889670384	0.48430237348808486	0.5189865898922505	151671_to_151672;151672_to_151671
Br8100	Br8100_pos0	0.5358227815026595	0.011081824961682106	0.0	0.028583804766337095	0.0	0.2430876440385633	0.04701219006629728	-0.00387000500678371	-0.0027912893598104685	0.4045221561516441	0.4392209675862938	151673_to_151674;151674_to_151673
Br8100	Br8100_pos300	0.527525602050988	0.008181283983779843	0.0	0.022020493944485964	0.0	0.2571447129783554	0.03833847548729036	-0.006945510406723641	-0.002006639080098082	0.34756921402682756	0.382896136681934	151675_to_151676;151676_to_151675
