supplement	content	generated_source_asset	workflow
S1	Registration quality control and Spateo extension	manuscript/source_panels/supplementary/01_registration_qc/Supp_Fig_S1_registration_qc.svg	reproducibility/workflows/manuscript/figure_03/build_s1_spateo_extension.py
S2	Source-only anchor-panel design	manuscript/source_panels/supplementary/02_anchor_panel/Supp_Fig_S2_anchor_panel.svg	reproducibility/workflows/manuscript/supplementary/generate_hyperspatial_supplementary_figures.py
S3	Full internal-component ablations	manuscript/source_panels/supplementary/03_full_ablations/Supp_Fig_S3_full_ablations.svg	reproducibility/workflows/manuscript/supplementary/generate_hyperspatial_supplementary_figures.py
S4	All-gene recovery and source-selected guard	manuscript/source_panels/supplementary/04_all_gene_results/Supp_Fig_S4_all_gene_guard.svg	reproducibility/workflows/manuscript/supplementary/generate_hyperspatial_supplementary_figures.py
S5	HyperSpatial-MAP-T controls	manuscript/source_panels/supplementary/06_temporal_controls/Supp_Fig_S5_MAPT_controls.svg	reproducibility/workflows/manuscript/supplementary/generate_hyperspatial_supplementary_figures.py
S6	Residual-biology robustness and technical nulls	manuscript/source_panels/supplementary/08_residual_biology_robustness/Supp_Fig_S6_residual_biology_robustness.svg	reproducibility/workflows/manuscript/figure_03/run_nb_null.py; reproducibility/workflows/manuscript/figure_03/build_s6_nb_append.py
S8	Panel-budget design	manuscript/source_panels/supplementary/panel_design_extension_20260809/Supp_Fig_S8_Panel_Design.svg	reproducibility/workflows/manuscript/figure_03/run_panel_design_extension.py
Runtime	Runtime and memory benchmark	manuscript/source_panels/supplementary/S5/Supplementary_Figure_8_runtime_and_memory.svg	reproducibility/workflows/manuscript/supplementary/generate_hyperspatial_map_supplement_20260803.py
