pair_id	specimen_id	tumor	source_platform	target_platform	target_units_8um_bins	measured_anchor_count	hidden_gene_count	IDW_median_gene_wise_spatial_pearson	MAP_median_gene_wise_spatial_pearson	delta_spatial_pearson_MAP_minus_IDW	IDW_log1p_RMSE	MAP_log1p_RMSE	delta_RMSE_MAP_minus_IDW	IDW_residual_pearson	MAP_median_gene_wise_residual_pearson	MAP_pooled_residual_pearson	fraction_hidden_genes_MAP_gt_IDW_spatial_pearson	fraction_hidden_genes_MAP_lt_IDW_log1p_RMSE	fraction_hidden_genes_positive_MAP_residual_pearson
COAD_VisiumHD_FFPE_to_CosMx6K	Benchmark_03	COAD	Visium HD FFPE	CosMx 6K	574264	16	1391	0.0030925832370369	0.0775129673315958	0.0744203840945589	0.3101135820299209	0.2614012221271956	-0.04871235990272532		0.5194969583738086	0.5382542765980423	0.8878504672897196	0.9813084112149532	0.9813084112149532
HCC_VisiumHD_FFPE_to_CosMx6K	Benchmark_01	HCC	Visium HD FFPE	CosMx 6K	675035	16	287	-0.0005579995815018	0.0007705142836429	0.0013285138651447002	0.3669227386161885	0.3375599215570024	-0.02936281705918614		0.5226387331836901	0.3902275981258221	0.3832752613240418	0.3832752613240418	0.3832752613240418
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	559555	16	1269	-0.0002936251647445	0.0620181948152004	0.0623118199799449	0.3517895577087822	0.3084590658850653	-0.0433304918237169		0.4819918126769466	0.4854827942936425	0.9188337273443656	0.9235618597320724	0.9243498817966904
