pair_id	specimen_id	tumor	source_platform	target_platform	anchor_position	gene	source_prevalence	source_marginal_coverage_gain	selected_using_target_expression
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	1	COL1A1	0.40602028712993044	0.0045701321214437485	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	2	APOE	0.17393218846323205	0.0008444553823210299	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	3	COL4A1	0.16400680733573733	0.000716489099431783	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	4	IGKC	0.24865618590849767	0.00029701823950745165	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	5	C1QC	0.11313427033374193	0.0002880988467950374	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	6	S100A9	0.41246662779027377	0.0002516825625207275	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	7	A2M	0.10744958961603611	0.00024608965031802654	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	8	CXCL10	0.09353144425799644	0.00024067766207735986	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	9	COL3A1	0.35725421590679185	0.00022768798226024956	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	10	PHC3	0.054018351244242924	0.0002219968446297571	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	11	CCNB1	0.05282230711557	0.00021979572193231434	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	12	PPP2R5A	0.0630491786370254	0.0002165893092751503	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	13	DICER1	0.051546923409538994	0.0002146267070202157	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	14	CSNK2A1	0.06262471189815971	0.0002129358472302556	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	15	CXCR4	0.10243731181643996	0.00021143641788512468	False
OV_VisiumHD_FFPE_to_CosMx6K	Benchmark_02	OV	Visium HD FFPE	CosMx 6K	16	KDM5C	0.06933287316378466	0.00021010235650464892	False
