program	section_count	median_spatial_residual_pearson	min_spatial_residual_pearson	max_spatial_residual_pearson	positive_section_fraction
fibrosis_ecm	2	0.7646521729399955	0.7617415408404637	0.7675628050395272	1.0
hepatocyte_injury_stress	2	0.541733353723878	0.5379882144843379	0.5454784929634181	1.0
inflammatory_immune_response	2	0.471535399436496	0.4050536312389033	0.5380171676340888	1.0
metabolic_dysfunction	2	0.7690918166688427	0.7606998163067233	0.7774838170309621	1.0
regenerative_response	2	0.5424265696590065	0.4913153908661242	0.5935377484518889	1.0
