target_key	stage	seed	method	frozen_residual_spatial_pearson_median	recomputed_residual_spatial_pearson_median	absolute_difference	reproduced	frozen_predictable_genes	audit_predictable_genes
75p_E2_to_E1	75% epiboly	43	anchor_only_calibrated	0.534169614315033	0.534169614315033	0.0	True	467	467
75p_E2_to_E1	75% epiboly	43	atlas_plus_global_anchor_residual	0.3763904869556427	0.3763904869556427	0.0	True	467	467
75p_E2_to_E1	75% epiboly	43	atlas_plus_local_anchor_residual	0.3693052530288696	0.36930525302886963	5.551115123125783e-17	True	467	467
75p_E2_to_E1	75% epiboly	44	hyperspatial_map_calibrated_fusion	0.5299760103225708	0.5299760103225708	0.0	True	467	467
75p_E2_to_E1	75% epiboly	44	anchor_only_calibrated	0.5299760103225708	0.5299760103225708	0.0	True	467	467
75p_E2_to_E1	75% epiboly	44	atlas_plus_global_anchor_residual	0.3699398338794708	0.3699398338794708	0.0	True	467	467
75p_E2_to_E1	75% epiboly	44	atlas_plus_local_anchor_residual	0.3600316047668457	0.3600316047668457	0.0	True	467	467
6s_E1_to_E2	6-somite	42	hyperspatial_map_calibrated_fusion	0.5303599834442139	0.5303599834442139	0.0	True	441	441
6s_E1_to_E2	6-somite	42	anchor_only_calibrated	0.535167932510376	0.535167932510376	0.0	True	441	441
6s_E1_to_E2	6-somite	42	atlas_plus_global_anchor_residual	0.3412536084651947	0.3412536084651947	0.0	True	441	441
6s_E1_to_E2	6-somite	42	atlas_plus_local_anchor_residual	0.3272158503532409	0.32721585035324097	5.551115123125783e-17	True	441	441
6s_E1_to_E2	6-somite	43	hyperspatial_map_calibrated_fusion	0.5328957438468933	0.5328957438468933	0.0	True	441	441
6s_E1_to_E2	6-somite	43	anchor_only_calibrated	0.5380691885948181	0.5380691885948181	0.0	True	441	441
6s_E1_to_E2	6-somite	43	atlas_plus_global_anchor_residual	0.3415398001670837	0.34153980016708374	5.551115123125783e-17	True	441	441
6s_E1_to_E2	6-somite	43	atlas_plus_local_anchor_residual	0.3224810659885406	0.32248106598854065	5.551115123125783e-17	True	441	441
6s_E1_to_E2	6-somite	44	hyperspatial_map_calibrated_fusion	0.5302521586418152	0.5302521586418152	0.0	True	441	441
6s_E1_to_E2	6-somite	44	anchor_only_calibrated	0.5367522835731506	0.5367522835731506	0.0	True	441	441
6s_E1_to_E2	6-somite	44	atlas_plus_global_anchor_residual	0.3428400456905365	0.3428400456905365	0.0	True	441	441
6s_E1_to_E2	6-somite	44	atlas_plus_local_anchor_residual	0.3256148993968963	0.32561489939689636	5.551115123125783e-17	True	441	441
6s_E2_to_E1	6-somite	42	hyperspatial_map_calibrated_fusion	0.4881014227867126	0.48810142278671265	5.551115123125783e-17	True	414	414
6s_E2_to_E1	6-somite	42	anchor_only_calibrated	0.5158635973930359	0.5158635973930359	0.0	True	414	414
6s_E2_to_E1	6-somite	42	atlas_plus_global_anchor_residual	0.3357582688331604	0.3357582688331604	0.0	True	414	414
6s_E2_to_E1	6-somite	42	atlas_plus_local_anchor_residual	0.318535715341568	0.318535715341568	0.0	True	414	414
6s_E2_to_E1	6-somite	43	hyperspatial_map_calibrated_fusion	0.4834109544754028	0.48341095447540283	5.551115123125783e-17	True	414	414
6s_E2_to_E1	6-somite	43	anchor_only_calibrated	0.5106379389762878	0.5106379389762878	0.0	True	414	414
6s_E2_to_E1	6-somite	43	atlas_plus_global_anchor_residual	0.3337098062038421	0.33370980620384216	5.551115123125783e-17	True	414	414
6s_E2_to_E1	6-somite	43	atlas_plus_local_anchor_residual	0.3181968331336975	0.3181968331336975	0.0	True	414	414
6s_E2_to_E1	6-somite	44	hyperspatial_map_calibrated_fusion	0.4895596802234649	0.48955968022346497	5.551115123125783e-17	True	414	414
6s_E2_to_E1	6-somite	44	anchor_only_calibrated	0.5165258646011353	0.5165258646011353	0.0	True	414	414
6s_E2_to_E1	6-somite	44	atlas_plus_global_anchor_residual	0.3361618220806122	0.3361618220806122	0.0	True	414	414
6s_E2_to_E1	6-somite	44	atlas_plus_local_anchor_residual	0.312280923128128	0.31228092312812805	5.551115123125783e-17	True	414	414
